,Year,Electricity Generation (TWh),Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Energy consumption per GDP (kWh per $),Fossil fuels (% sub energy),Low-carbon energy (% sub energy),Nuclear (% sub energy)
0,1965,,,,,,,,,,0.995,91.357,8.642999999999999,0.0
1,1966,,,,,,,,,,1.041,91.242,8.758,0.0
2,1967,,,,,,,,,,1.016,90.493,9.507,0.0
3,1968,,,,,,,,,,1.094,89.73299999999999,10.267,0.0
4,1969,,,,,,,,,,1.1840000000000002,89.45700000000001,10.543,0.26
5,1970,,,,,,,,,,1.135,88.37,11.63,0.479
6,1971,,,,,,,,,,1.151,87.89399999999999,12.106,0.3429999999999999
7,1972,,,,,,,,,,1.182,88.846,11.154000000000002,0.309
8,1973,,,,,,,,,,1.122,88.04299999999999,11.957,0.6409999999999999
9,1974,,,,,,,,,,1.197,89.17200000000001,10.828,0.556
10,1975,,,,,,,,,,1.167,87.962,12.038,0.617
11,1976,,,,,,,,,,1.252,87.87899999999999,12.121,0.7290000000000001
12,1977,,,,,,,,,,1.3159999999999998,87.766,12.234000000000002,0.481
13,1978,,,,,,,,,,1.385,85.38600000000001,14.614,0.5660000000000001
14,1979,,,,,,,,,,1.5619999999999998,86.618,13.382,0.556
15,1980,,,,,,,,,,1.557,86.694,13.306,0.563
16,1981,,,,,,,,,,1.745,87.227,12.773,0.512
17,1982,,,,,,,,,,1.758,89.111,10.889,0.451
18,1983,,,,,,,,,,1.823,89.83,10.17,0.612
19,1984,,,,,,,,,,1.949,89.24700000000001,10.753,0.753
20,1985,186.3858336,116.039,2.158,51.8130456,0.0,0.0,11.868,0.0,4.507788,2.042,90.065,9.935,0.795
21,1986,202.6772014,129.90200000000002,3.682,52.568763,0.0,0.0,11.504,0.0,5.0204384000000015,2.074,90.511,9.489,0.8270000000000001
22,1987,223.6694902,152.8,4.235,48.9625326,0.0,0.0,12.351,0.0,5.320957599999999,2.081,91.594,8.406,0.8240000000000001
23,1988,241.3046202,164.676,3.604,54.61494520000001,0.0,0.0,12.333,0.0,6.076675,2.077,91.364,8.636000000000001,0.865
24,1989,272.44643060000004,184.975,7.275,63.36977660000001,0.0,0.0,12.805,0.0,4.021654,2.111,91.219,8.781,0.524
25,1990,287.7628268,191.633,9.958,66.39706559999999,0.037586336,0.0,13.312,0.03030303,6.3948718,2.1180000000000003,91.154,8.846,0.7759999999999999
26,1991,320.4576307,214.118,13.355,73.91888440000002,0.095071321,0.0,13.444,0.11291,5.413765,2.174,90.842,9.158,0.623
27,1992,337.1533207,229.412,16.258,70.0607482,0.119391892,0.0,14.811,0.08847,6.4037106,2.15,91.606,8.394,0.701
28,1993,362.17625110000006,252.784,17.878,70.732497,0.25204955,0.0,14.208,0.09477,6.2269346,2.048,91.743,8.257,0.665
29,1994,387.9669839,264.60900000000004,21.882,80.21211,0.380285285,0.0,15.747,0.19128,4.9453086,2.044,91.306,8.693999999999999,0.502
