,Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity),Fossil fuels (% electricity),Low-carbon electricity (% electricity),Nuclear (% electricity).1,Renewables (% electricity)
0,1965,,,,,,,,,,,,
1,1966,,,,,,,,,,,,
2,1967,,,,,,,,,,,,
3,1968,,,,,,,,,,,,
4,1969,,,,,,,,,,,,
5,1970,,,,,,,,,,,,
6,1971,,,,,,,,,,,,
7,1972,,,,,,,,,,,,
8,1973,,,,,,,,,,,,
9,1974,,,,,,,,,,,,
10,1975,,,,,,,,,,,,
11,1976,,,,,,,,,,,,
12,1977,,,,,,,,,,,,
13,1978,,,,,,,,,,,,
14,1979,,,,,,,,,,,,
15,1980,,,,,,,,,,,,
16,1981,,,,,,,,,,,,
17,1982,,,,,,,,,,,,
18,1983,,,,,,,,,,,,
19,1984,,,,,,,,,,,,
20,1985,62.25741396689497,1.1578133157004054,27.798810992897263,0.0,0.0,6.367436714889903,2.4185250096174693,0.0,69.78266399748527,30.21733600251473,2.4185250096174693,27.798810992897263
21,1986,64.09304998425937,1.8166818835894976,25.93718614470665,0.0,0.0,5.676020746554477,2.4770612408900177,0.0,71.58575261440332,28.41424738559667,2.4770612408900177,25.93718614470665
22,1987,68.31508394970179,1.893418720726355,21.89057280732337,0.0,0.0,5.521986923185646,2.378937599062851,0.0,75.7304895936138,24.26951040638621,2.378937599062851,21.89057280732337
23,1988,68.24403107719691,1.4935478636973067,22.63319498596157,0.0,0.0,5.110967203934208,2.5182588692099976,0.0,74.84854614482843,25.15145385517157,2.5182588692099976,22.63319498596157
24,1989,67.89408089973338,2.6702497015572937,23.25953636479758,0.0,0.0,4.700006519373353,1.4761265145383773,0.0,75.26433712066404,24.73566287933596,1.4761265145383773,23.25953636479758
25,1990,66.59407753635536,3.4604886637845604,23.07353814193209,0.0,0.0105305575209202,4.626031842970483,2.222271678073465,0.0130615675478206,74.68059804311041,25.3194019450743,2.222271678073465,23.097130267000843
